Date,Region,Rainfall_mm,Temperature_C,Crop_Type,Borewell_Dependency,Groundwater_Level
2018-01-01,Tumkur,22.61765192393581,35.93261627789391,Millets,46.16776137888214,105.761532202555
2018-01-01,Tumkur,8.471120104662349,28.059227543372685,Rice,66.81430550821045,112.41075985257939
2018-01-01,Hubli,31.84107321421764,20.809111440127978,Rice,96.50407179293344,110.35822700936765
2018-01-01,Ballari,48.73849217102065,39.89532264571588,Rice,63.8182997448535,101.85316936589422
2018-01-01,Tumkur,41.28017124535075,22.811456741672085,Wheat,66.05206167864637,102.75443245575575
2018-01-02,Chitradurga,3.0004096294505898,40.85462162035233,Cotton,84.29225821643735,100.01189076197446
2018-01-02,Chitradurga,18.811468918059553,32.58141694185442,Rice,86.74069132197081,108.75686663446687
2018-01-02,Hubli,46.27915045951359,26.722387342471457,Sugarcane,86.17638338683147,111.27962380246188
2018-01-02,Hubli,25.15218737785107,30.901541712860585,Rice,99.87202149481433,110.4070063800539
2018-01-02,Kolar,33.10559129040896,31.03585579630807,Cotton,44.28706524922344,99.0731386835387
2018-01-03,Kolar,45.62996727956952,20.512315747736803,Rice,98.93519707797995,110.49270638149272
2018-01-03,Kolar,43.68973452099404,27.820116741451052,Rice,97.01137701984393,110.12964125897926
2018-01-04,Hubli,25.091018777025546,36.27704758994418,Sugarcane,91.12833401557349,112.44812213127442
2018-01-04,Hubli,21.8823151328801,31.221522156915576,Rice,67.2475345511225,109.55147799590755
2018-01-05,Hubli,16.984630923979356,25.373062574210852,Wheat,92.25414229803546,105.78120389332045
2018-01-05,Chitradurga,35.95097215814456,27.372416920812768,Wheat,53.24994473836571,100.23011938168105
2018-01-06,Hubli,14.349339973577163,38.98719664855088,Cotton,87.4993501232698,108.07935290370439
2018-01-07,Chitradurga,12.494380321545007,31.56209274330505,Sugarcane,51.11429818726325,109.56919482359784
2018-01-07,Kolar,17.812494730189005,31.623746696127192,Sugarcane,88.92172020827078,105.70159884546773
2018-01-07,Kolar,8.8607528439396,41.15228409912222,Millets,76.8717479958434,102.56695324056261
2018-01-07,Kolar,34.75599079728837,27.059390778806154,Millets,45.88187677081153,99.78387888711035
2018-01-08,Tumkur,30.812032466530614,30.549904752337024,Sugarcane,93.71917332143352,110.70529940718565
2018-01-08,Tumkur,24.14392670579218,37.85769914985835,Sugarcane,74.67743172731466,108.6056747043663
2018-01-09,Ballari,19.516288963077734,36.696069475514655,Sugarcane,79.37489668822687,108.58056646186077
2018-01-09,Ballari,45.45312714483657,25.847587282430794,Wheat,57.010602139096605,102.85891543309981
2018-01-10,Ballari,1.4561892494552642,23.324003047318488,Millets,92.29813023536839,103.4157618562036
2018-01-10,Tumkur,38.455387175364955,35.4155006761221,Cotton,72.7120441092138,105.77359660879014
2018-01-10,Tumkur,45.09547858744444,25.668435889758285,Rice,65.26721705749021,104.68980782823853
2018-01-11,Ballari,22.317728971496297,40.298868227533305,Rice,72.05690471369905,109.95171122271749
2018-01-11,Ballari,27.534524573532337,22.843449267762974,Rice,82.1987848880666,105.09213662140027
2018-01-11,Hubli,47.2231843941019,27.002934402965085,Rice,81.7028725419562,105.8900410982463
2018-01-11,Ballari,10.61387576427572,21.2053194323481,Rice,61.45462605746876,111.62670402652478
2018-01-12,Hubli,26.006742389234244,35.47271675099432,Wheat,63.11549680637563,105.48468234454991
2018-01-12,Chitradurga,23.736056356410646,39.60777827613876,Rice,73.73429157030563,106.68381804646614
2018-01-12,Tumkur,12.919632393518505,33.98923960128215,Sugarcane,95.46442724301927,109.04106656697265
